Facility,Destination City,Supplier,Base + FSC
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","IRON RIDGE, WI","RUSH INTERMODAL, INC.",759
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","IRON RIDGE, WI","UNITED INTERMODAL CARRIERS, INC.",792
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","IRON RIDGE, WI",TCL Land Transportation,858
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","IRON RIDGE, WI",All Points Transport,924
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","IRON RIDGE, WI",Gulf Winds,970.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","IRON RIDGE, WI",Big Blue Boxes,990
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","IRON RIDGE, WI",ContainerPort Group,993.96
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","IRON RIDGE, WI",Cargomatic,1042.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","IRON RIDGE, WI",MUSEFUL TRUCKING CO.,1042.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","IRON RIDGE, WI",GDX INC - CHICAGO,1135.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","IRON RIDGE, WI",P.B INDUSTRIES,1148.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BEDFORD PARK, IL",UNIX INTERMODAL INC,328.68
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BEDFORD PARK, IL",Cargomatic,343.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BEDFORD PARK, IL","UNITED INTERMODAL CARRIERS, INC.",343.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BEDFORD PARK, IL",NFI Industries,349.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BEDFORD PARK, IL",ContainerPort Group,361.68
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BEDFORD PARK, IL",TCL Land Transportation,363
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BEDFORD PARK, IL",MUSEFUL TRUCKING CO.,376.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BEDFORD PARK, IL",All Points Transport,396
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BEDFORD PARK, IL",GDX INC - CHICAGO,422.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BEDFORD PARK, IL",Gulf Winds,422.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BEDFORD PARK, IL",P.B INDUSTRIES,422.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BEDFORD PARK, IL","RUSH INTERMODAL, INC.",429
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BEDFORD PARK, IL",Big Blue Boxes,455.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WHEELING, IL",UNIX INTERMODAL INC,394.68
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WHEELING, IL",Cargomatic,396
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WHEELING, IL","UNITED INTERMODAL CARRIERS, INC.",396
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WHEELING, IL",NFI Industries,409.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WHEELING, IL",All Points Transport,462
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WHEELING, IL",ContainerPort Group,462
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WHEELING, IL","RUSH INTERMODAL, INC.",462
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WHEELING, IL",TCL Land Transportation,462
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WHEELING, IL",MUSEFUL TRUCKING CO.,468.6
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WHEELING, IL",P.B INDUSTRIES,495
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WHEELING, IL",GDX INC - CHICAGO,501.6
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WHEELING, IL",Gulf Winds,528
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WHEELING, IL",Big Blue Boxes,561
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CHILTON, WI",UNIX INTERMODAL INC,889.68
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CHILTON, WI","RUSH INTERMODAL, INC.",891
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CHILTON, WI",TCL Land Transportation,976.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CHILTON, WI",All Points Transport,990
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CHILTON, WI","UNITED INTERMODAL CARRIERS, INC.",1016.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CHILTON, WI",Gulf Winds,1089
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CHILTON, WI",ContainerPort Group,1094.28
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CHILTON, WI",Cargomatic,1108.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CHILTON, WI",MUSEFUL TRUCKING CO.,1135.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CHILTON, WI",GDX INC - CHICAGO,1169.52
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CHILTON, WI",Big Blue Boxes,1247.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CHILTON, WI",P.B INDUSTRIES,1293.6
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","HOMER GLEN, IL",UNIX INTERMODAL INC,236.28
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","HOMER GLEN, IL",ContainerPort Group,302.28
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","HOMER GLEN, IL",MUSEFUL TRUCKING CO.,316.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","HOMER GLEN, IL",NFI Industries,323.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","HOMER GLEN, IL","UNITED INTERMODAL CARRIERS, INC.",343.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","HOMER GLEN, IL",Gulf Winds,363
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","HOMER GLEN, IL",P.B INDUSTRIES,363
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","HOMER GLEN, IL",TCL Land Transportation,363
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","HOMER GLEN, IL",Cargomatic,369.6
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","HOMER GLEN, IL",All Points Transport,396
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","HOMER GLEN, IL",GDX INC - CHICAGO,396
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","HOMER GLEN, IL","RUSH INTERMODAL, INC.",429
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","HOMER GLEN, IL",Big Blue Boxes,455.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","STREATOR, IL",UNIX INTERMODAL INC,381.48
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","STREATOR, IL",NFI Industries,396
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","STREATOR, IL",ContainerPort Group,398.64
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","STREATOR, IL",MUSEFUL TRUCKING CO.,415.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","STREATOR, IL",P.B INDUSTRIES,422.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","STREATOR, IL","RUSH INTERMODAL, INC.",429
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","STREATOR, IL",Gulf Winds,448.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","STREATOR, IL",All Points Transport,462
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","STREATOR, IL",GDX INC - CHICAGO,475.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","STREATOR, IL","UNITED INTERMODAL CARRIERS, INC.",488.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","STREATOR, IL",Big Blue Boxes,508.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","STREATOR, IL",TCL Land Transportation,528
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","STREATOR, IL",Cargomatic,660
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BYRON CENTER, MI",UNIX INTERMODAL INC,823.68
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BYRON CENTER, MI","RUSH INTERMODAL, INC.",825
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BYRON CENTER, MI",Cargomatic,871.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BYRON CENTER, MI","UNITED INTERMODAL CARRIERS, INC.",910.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BYRON CENTER, MI",All Points Transport,924
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BYRON CENTER, MI",TCL Land Transportation,957
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BYRON CENTER, MI",Gulf Winds,963.6
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BYRON CENTER, MI",NFI Industries,996.6
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BYRON CENTER, MI",ContainerPort Group,1025.64
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BYRON CENTER, MI",GDX INC - CHICAGO,1056
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BYRON CENTER, MI",MUSEFUL TRUCKING CO.,1108.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BYRON CENTER, MI",Big Blue Boxes,1168.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","BYRON CENTER, MI",P.B INDUSTRIES,1181.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","OLIVE BRANCH, MS",UNIX INTERMODAL INC,1701.48
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","OLIVE BRANCH, MS",Gulf Winds,2501.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","OLIVE BRANCH, MS",TCL Land Transportation,2547.6
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","OLIVE BRANCH, MS",ContainerPort Group,2620.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","OLIVE BRANCH, MS","RUSH INTERMODAL, INC.",2653.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","OLIVE BRANCH, MS",All Points Transport,2970
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","OLIVE BRANCH, MS",GDX INC - CHICAGO,3086.16
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","OLIVE BRANCH, MS",Big Blue Boxes,3135
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","OLIVE BRANCH, MS",Cargomatic,3366
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","OLIVE BRANCH, MS",P.B INDUSTRIES,3590.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","ASHLEY, IN",UNIX INTERMODAL INC,869.88
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","ASHLEY, IN","RUSH INTERMODAL, INC.",871.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","ASHLEY, IN",Gulf Winds,917.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","ASHLEY, IN",All Points Transport,924
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","ASHLEY, IN",TCL Land Transportation,924
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","ASHLEY, IN",ContainerPort Group,925.32
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","ASHLEY, IN",MUSEFUL TRUCKING CO.,976.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","ASHLEY, IN",NFI Industries,1016.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","ASHLEY, IN",Cargomatic,1069.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","ASHLEY, IN",P.B INDUSTRIES,1095.6
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","ASHLEY, IN",Big Blue Boxes,1102.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","ASHLEY, IN","UNITED INTERMODAL CARRIERS, INC.",1135.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","ASHLEY, IN",GDX INC - CHICAGO,1201.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","GALESBURG, MI",UNIX INTERMODAL INC,770.88
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","GALESBURG, MI","RUSH INTERMODAL, INC.",772.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","GALESBURG, MI",Gulf Winds,871.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","GALESBURG, MI",All Points Transport,891
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","GALESBURG, MI",TCL Land Transportation,891
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","GALESBURG, MI",NFI Industries,897.6
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","GALESBURG, MI",MUSEFUL TRUCKING CO.,917.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","GALESBURG, MI",GDX INC - CHICAGO,918.72
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","GALESBURG, MI",ContainerPort Group,925.32
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","GALESBURG, MI","UNITED INTERMODAL CARRIERS, INC.",937.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","GALESBURG, MI",Cargomatic,990
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","GALESBURG, MI",P.B INDUSTRIES,1036.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","GALESBURG, MI",Big Blue Boxes,1062.6
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","RACINE, WISCONSIN",UNIX INTERMODAL INC,592.68
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","RACINE, WISCONSIN",TCL Land Transportation,594
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","RACINE, WISCONSIN",Gulf Winds,660
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","RACINE, WISCONSIN",ContainerPort Group,682.44
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","RACINE, WISCONSIN",Cargomatic,699.6
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","RACINE, WISCONSIN","UNITED INTERMODAL CARRIERS, INC.",712.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","RACINE, WISCONSIN",NFI Industries,726
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","RACINE, WISCONSIN",All Points Transport,759
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","RACINE, WISCONSIN",MUSEFUL TRUCKING CO.,759
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","RACINE, WISCONSIN","RUSH INTERMODAL, INC.",759
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","RACINE, WISCONSIN",P.B INDUSTRIES,772.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","RACINE, WISCONSIN",Big Blue Boxes,811.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","RACINE, WISCONSIN",GDX INC - CHICAGO,834.24
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CRAWFORDSVILLE, IN",UNIX INTERMODAL INC,724.68
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CRAWFORDSVILLE, IN",Cargomatic,726
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CRAWFORDSVILLE, IN","RUSH INTERMODAL, INC.",726
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CRAWFORDSVILLE, IN",All Points Transport,772.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CRAWFORDSVILLE, IN",NFI Industries,792
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CRAWFORDSVILLE, IN",TCL Land Transportation,792
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CRAWFORDSVILLE, IN",Gulf Winds,798.6
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CRAWFORDSVILLE, IN","UNITED INTERMODAL CARRIERS, INC.",805.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CRAWFORDSVILLE, IN",ContainerPort Group,810.48
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CRAWFORDSVILLE, IN",GDX INC - CHICAGO,865.92
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CRAWFORDSVILLE, IN",P.B INDUSTRIES,871.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CRAWFORDSVILLE, IN",MUSEFUL TRUCKING CO.,897.6
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CRAWFORDSVILLE, IN",Big Blue Boxes,943.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","TINLEY PARK, IL",ContainerPort Group,291.72
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","TINLEY PARK, IL",UNIX INTERMODAL INC,295.68
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","TINLEY PARK, IL",MUSEFUL TRUCKING CO.,303.6
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","TINLEY PARK, IL",NFI Industries,343.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","TINLEY PARK, IL","UNITED INTERMODAL CARRIERS, INC.",343.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","TINLEY PARK, IL",Gulf Winds,363
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","TINLEY PARK, IL",P.B INDUSTRIES,363
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","TINLEY PARK, IL",TCL Land Transportation,363
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","TINLEY PARK, IL",Big Blue Boxes,376.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","TINLEY PARK, IL",All Points Transport,396
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","TINLEY PARK, IL",Cargomatic,409.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","TINLEY PARK, IL",GDX INC - CHICAGO,422.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","TINLEY PARK, IL","RUSH INTERMODAL, INC.",429
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","EDGEWOOD, IA",UNIX INTERMODAL INC,1120.68
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","EDGEWOOD, IA","UNITED INTERMODAL CARRIERS, INC.",1122
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","EDGEWOOD, IA","RUSH INTERMODAL, INC.",1161.6
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","EDGEWOOD, IA",All Points Transport,1254
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","EDGEWOOD, IA",TCL Land Transportation,1254
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","EDGEWOOD, IA",Gulf Winds,1267.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","EDGEWOOD, IA",ContainerPort Group,1363.56
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","EDGEWOOD, IA",MUSEFUL TRUCKING CO.,1366.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","EDGEWOOD, IA",Cargomatic,1372.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","EDGEWOOD, IA",GDX INC - CHICAGO,1372.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","EDGEWOOD, IA",Big Blue Boxes,1452
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","EDGEWOOD, IA",P.B INDUSTRIES,1610.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MEQUON, WI",UNIX INTERMODAL INC,722.04
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MEQUON, WI","UNITED INTERMODAL CARRIERS, INC.",726
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MEQUON, WI","RUSH INTERMODAL, INC.",759
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MEQUON, WI",TCL Land Transportation,759
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MEQUON, WI",All Points Transport,772.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MEQUON, WI",Gulf Winds,811.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MEQUON, WI",NFI Industries,818.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MEQUON, WI",GDX INC - CHICAGO,871.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MEQUON, WI",Big Blue Boxes,877.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MEQUON, WI",Cargomatic,884.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MEQUON, WI",ContainerPort Group,893.64
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MEQUON, WI",MUSEFUL TRUCKING CO.,897.6
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MEQUON, WI",P.B INDUSTRIES,943.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MARNE,MI",UNIX INTERMODAL INC,889.68
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MARNE,MI","RUSH INTERMODAL, INC.",891
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MARNE,MI",TCL Land Transportation,970.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MARNE,MI","UNITED INTERMODAL CARRIERS, INC.",976.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MARNE,MI",All Points Transport,990
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MARNE,MI",Gulf Winds,1003.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MARNE,MI",ContainerPort Group,1025.64
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MARNE,MI",MUSEFUL TRUCKING CO.,1062.6
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MARNE,MI",GDX INC - CHICAGO,1071.84
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MARNE,MI",Cargomatic,1188
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MARNE,MI",P.B INDUSTRIES,1207.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","MARNE,MI",Big Blue Boxes,1247.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WALKERTON, IN",Gulf Winds,521.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WALKERTON, IN",ContainerPort Group,522.72
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WALKERTON, IN",UNIX INTERMODAL INC,526.68
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WALKERTON, IN","UNITED INTERMODAL CARRIERS, INC.",554.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WALKERTON, IN",P.B INDUSTRIES,580.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WALKERTON, IN",MUSEFUL TRUCKING CO.,607.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WALKERTON, IN",All Points Transport,627
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WALKERTON, IN","RUSH INTERMODAL, INC.",627
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WALKERTON, IN",Cargomatic,660
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WALKERTON, IN",TCL Land Transportation,660
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WALKERTON, IN",Big Blue Boxes,666.6
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","WALKERTON, IN",GDX INC - CHICAGO,726
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","LANSING, IL",UNIX INTERMODAL INC,341.88
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","LANSING, IL","UNITED INTERMODAL CARRIERS, INC.",343.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","LANSING, IL",MUSEFUL TRUCKING CO.,356.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","LANSING, IL",ContainerPort Group,357.72
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","LANSING, IL",P.B INDUSTRIES,363
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","LANSING, IL",TCL Land Transportation,363
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","LANSING, IL",Cargomatic,396
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","LANSING, IL",All Points Transport,429
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","LANSING, IL","RUSH INTERMODAL, INC.",429
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","LANSING, IL",Gulf Winds,442.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","LANSING, IL",GDX INC - CHICAGO,448.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","LANSING, IL",Big Blue Boxes,508.2
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","DUNDEE, IL 60118",UNIX INTERMODAL INC,414.48
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","DUNDEE, IL 60118","UNITED INTERMODAL CARRIERS, INC.",422.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","DUNDEE, IL 60118",MUSEFUL TRUCKING CO.,429
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","DUNDEE, IL 60118",ContainerPort Group,435.6
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","DUNDEE, IL 60118",P.B INDUSTRIES,455.4
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","DUNDEE, IL 60118",Cargomatic,462
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","DUNDEE, IL 60118",TCL Land Transportation,462
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","DUNDEE, IL 60118",Gulf Winds,481.8
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","DUNDEE, IL 60118",All Points Transport,495
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","DUNDEE, IL 60118","RUSH INTERMODAL, INC.",495
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","DUNDEE, IL 60118",Big Blue Boxes,528
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","DUNDEE, IL 60118",GDX INC - CHICAGO,567.6
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CHARLESTON, IL,61920",TCL Land Transportation,759
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CHARLESTON, IL,61920",NFI Industries,792
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CHARLESTON, IL,61920","UNITED INTERMODAL CARRIERS, INC.",792
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CHARLESTON, IL,61920",UNIX INTERMODAL INC,792
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CHARLESTON, IL,61920",Gulf Winds,798.6
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CHARLESTON, IL,61920",ContainerPort Group,810.48
"CHICAGO, IL - BNSF - CHICAGO - LPC (H572)","CHARLESTON, IL,61920",GDX INC - CHICAGO,818.4
